created_time,id,description
2017-10-18T07:53:40+0000,834100560293045_506581323044972,"Diwali, the momentous occasion which brings with it the light to enlighten the truth, sweetness to sweeten the soul and togetherness to tie the bonds. In India, its celebration includes millions of lights illuminating every corner  which spiritually signifies the victory of light over darkness. On this occasion ""IT Association"" wishes you a very Happy Diwali. Hope this Diwali gives you prosperity, success and fortune enclosed in an envelope of warmth and togetherness."
2017-10-17T22:01:53+0000,834100560293045_506458329723938,Dont u dare  :P
2017-10-17T21:55:23+0000,834100560293045_506454726390965,Tag a bengali friend and tell us their daak naam to ruin their day! :) <3
2017-10-14T18:41:43+0000,834100560293045_505345326501905,"The second day of the sequel of the SRM Hackathon was conducted on the 7th of October, 2017. The caffeine fueled  participants submitted their code and had to present their project to the respected judges. The Hackathon opened our minds to new and creative ideas that can take our country to great heights."
2017-10-12T02:04:01+0000,834100560293045_504350213268083,"This is lit.

Credits: Football Memes India"
2017-10-04T15:45:09+0000,834100560293045_501653730204398,
2017-10-03T18:15:20+0000,834100560293045_501333150236456,"The wait is finally going to be over as we move closer and closer to the much awaited second edition of SRM Hackathon. With an exciting set of themes ranging from Environment to Judiciary, looking forward to your revolutionary ideas that will make a huge and significant impact. So here is a glimpse of what is in store on the 6th and 7th of October.
#SRMHACK2017"
2017-09-30T20:43:20+0000,834100560293045_500258447010593,Yeh gunaah hai.
2017-09-21T00:44:48+0000,834100560293045_496714664031638,Isn't it breathtakingly beautiful?
2017-09-15T06:12:52+0000,834100560293045_494618107574627,"“Time will never be just right!” Calling all future masterminds to come and be a part of SRM Hackathon! A 36 hour development fest, that will put your creativity and coding skills to test. Showcase your ideas through our National Level Hackathon and if you think you have the potential to bring a change to the world we live in, then register now!

Register at srmhack.hackerearth.com and submit ideas before 30th September 2017. 

#SRMHack2017"
2017-09-11T17:28:55+0000,834100560293045_493387914364313,
2017-09-11T07:27:26+0000,834100560293045_493230417713396,"""We are definitely going to Hell, But we'll have all the Best Stories to Tell""

Whatever we do, whoever we impact, whatever impressions we leave behind, and whatever people remember of us when we aren't present, are all Stories. Stories that give us glory, make us feel proud, drive the adrenaline in our veins and push us to do things, we never thought we could.

In the end, we realise, we are just Stories waiting to be told. 

Hello, I am Rishav Guha Niyogi , the President of The Climber , Chennai Chapter and these are the words I live by. While working for the Climber, I have realised that I have stories which I would love to share with whoever is ready to listen.

We all have a tendency to lose touch with what we loved as a child. Something about the social pressures of adolescence and professional pressures of young adulthood squeezes the passion out of us. We’re taught that the only reason to do something is if we’re somehow rewarded for it but not for the sheer joy of it. 

The Climber, on the other hand preached the exact opposite. It promised to be a platform where we could literally explore, fine tune and involve ourselves completely with our passion. 

It gave me Indian Youth Conclave 2017 - Chennai , an event very close to my heart. An event whose inception helped me reach where I am today. The ambience at an IYC is electric as You can see youngsters like you who were actually pursuing what they loved and how they excelled and how dedicated they were. Every speaker’s story is different but when you really look at its essence on a miniscule level they will all teach you one thing and that is what I took back from the event, it was “If you do what you actually love and if you’re ready to step out of your comfort zone for it, MAGIC can really happen!""

- Rishav Guha Niyogi
  President, The Climber - Chennai
  Also probably a would be engineer

Get ready for Chennai's Largest youth fest --> http://bit.ly/iyc17

#IYCisBack #WhereEverythingBegins #TakeTheLeap
#Chennai #OutreachPartner #SRMbyAG"
2017-09-11T07:19:11+0000,834100560293045_493228307713607,"""Seize the moment because some opportunities don't come twice "". Come and experience the magnificence of our 36 hour national level hackathon which will be conducted on 6-7 October. Only ""20 days"" left for idea submission .Let your creative juices flow and embark upon your journey towards success.

Register at srmhackathon.com or srmhack.hackerearth.com

#SRMHack2017"
2017-09-08T21:44:01+0000,834100560293045_492361047800333,"A YouTube Sensation !
A musical Popstar !
A youth inspiration ! 

Aaruush, a student driven Fest brings to you , A lifetime experience 
Shirley Setia , Live in Concert 

Our sincerest thank to Jrny Entertainmentsertainments for making this happen.

#PyajamaRockstar 
#Aaruush17
#X1edition
#ShirleySetia"
2017-09-08T21:36:03+0000,834100560293045_492359324467172,"The phenomenal and exemplar edition of SRM Hackathon is back, which notches higher and triumphant than any other edition. Perhaps the most useful lesson which has come out of the work on penicillin has been the demonstration that success in this field depends on the development and coordinated use of technical methods. SRM Hackathon conceptualizes an immaculate future by coming up with innovative ideas to the prevailing problems in various arena. Buckling up to the brand-new edition, an impetus for creating change can be visualized through the vibrant logos.

Don’t count the days, make the days count!

Register at srmhackathon.com or srmhack.hackerearth.com

#SRMHack2017"
2017-09-07T18:12:19+0000,834100560293045_491897627846675,Admit it ... L'Hôpital's (L Hospital's) is first thing you do when you see limits
2017-09-06T09:49:32+0000,834100560293045_491406957895742,"Building the future BIT by BIT!
#SRMHack2017"
2017-09-04T07:31:04+0000,834100560293045_490647327971705,"Onam is celebrated to commemorate a glorious past , a time when prosperity , joy and love blended . From the delicious food served on the banana leaves to the beautiful white and golden sarees , this is a festival where gaiety and culture harmonise. IT association hopes that this Onam fills your life with happiness and prosperity ."
2017-09-03T17:37:29+0000,834100560293045_490490887987349,"Tickling your neurons, we challenge you to put your coding and development skills to test. Where and how? Well, of course through the prestigious second edition of SRM Hackathon. Come face to face and solve real world issues ranging from rural development to judiciary to environment. There isn't a problem without a solution. Unleash your brain's creativity and potential, use your coding skills to bring out the developer in you and come up with a viable solution to find out if you've got what it takes to not just survive but thrive in the 21st century and in turn make it a better place to live in!

There are Hackathons popping up all around our locality and beyond our everyday borders trying to solve real world problems. But why us? 3 words - Hackathon Beast Edition. Don't believe us, then come and see for yourselves. We are back with different tracks, bigger cash prize and much higher standards and we vouch to push that bar even higher into the sky.

Immerse yourself into technology development for a continuous stretch of 36 hours on the 6th and 7th of October 2017. Bring a team of 2 to 5; the coder, the newbie, the guy you convinced with pizza bribes, the dreamer, and the nerd. Come and lose all those labels as you become creators. SRM Hackathon is about the persistence and determination to be anything but average, and we'll give you the playground to do it. Pitch your revolutionary solutions to our highly esteemed judges and we'll make sure that your playtime ends in rewards and glory worth 3 Lakhs!
http://srmhackathon.com/"
2017-09-02T09:19:26+0000,834100560293045_489944798041958,Eid Al adha popularly known as the sacrifice feast teaches us that God cares about us and wants to help the greater good . It benefits the poor and needy as well as our family and friends . The IT Association wishes everyone a Happy Eid !
2017-08-31T16:21:48+0000,834100560293045_489316144771490,"An impeccable platform for all those aiming at a flawless future. This is the place for all the innovators coming up with ingenious technical  solutions to the prevailing problems of our world. IT Association presents, SRM Hackathon, a two day nation wide event brimming with excitement. It will be held on our premises from October 6th.

Register at srmhackathon.com or srmhack.hackerearth.com

#VISUALISEYOURDREAM
#SRMHack2017"
2017-08-31T16:20:49+0000,834100560293045_489315898104848,"Once a team always a team. The ITA is the best team anyone can find .We work together, fight together and come out successful in the end."
2017-08-30T09:52:53+0000,834100560293045_488785018157936,
2017-08-29T14:13:11+0000,834100560293045_488471178189320,Wut?
2017-08-26T17:15:17+0000,834100560293045_487365958299842,
2017-08-26T11:43:53+0000,834100560293045_487258318310606,"Explaining a joke is like dissecting a frog. It can be dark. We promise not to cross the line. Or would you mind if we do? 2015 saw Kanan Gill. 2016, Kenny Sebastian. Presenting to you the comedian of Aaruush'17

#RaiseTheBar #NeverSettle #Aaruush17
#X1edition #TheMomentIsNear"
2017-08-25T18:04:42+0000,834100560293045_487009081668863,"The IT department is happy to announce that we will be conducting Fresher's for our first year students. 
The details for the event are as follows:-
Date: August 26th 2017
Time: 11am-3pm
Venue: Biotech Seminar Hall

Come join us as we open your eyes to SRM beyond textbooks."
2017-08-22T18:15:54+0000,834100560293045_485954091774362,tag your most bootiful friend
2017-08-19T17:28:38+0000,834100560293045_484821018554336,
2017-08-17T18:33:16+0000,834100560293045_484150165288088,"Former US Navy Admiral, William H. McRaven, conquers his day with this one small task in the morning

Get inspired. Order his book, Make Your Bed: http://amzn.to/2ia1V7r"
2017-08-17T06:34:53+0000,834100560293045_483965465306558,"The partition of India and Pakistan, explained."
2017-08-16T11:55:45+0000,834100560293045_483675858668852,"One might say that we are back at it, but we never really left. Having bagged 8 awards, the SRM Delegation lifted the Best Delegation trophy at the first conference of this wondrous season, SRM Vadapalani MUN 2017."
2017-08-10T05:51:51+0000,834100560293045_481301612239610,sarahahahaplsno
2017-08-08T16:47:05+0000,834100560293045_480758645627240,
2017-08-02T13:58:30+0000,834100560293045_478226359213802,"We are happy to announce UBER, as our travel partner for the academic year 2017-2018. We are aiming to achieve the pinnacle of success with this support. It is our pleasure to ride with UBER. We have lots of events instore and it is an honour for us to have UBER as our travel partner. We are ready to start our journey towards excellence.
Uber"
2017-08-02T03:47:51+0000,834100560293045_478061322563639,"IT Association is happy to introduce you all to our media partner NEW INDIAN EXPRESS.
Indian Express has been synonymous with excellence in journalism and it's commitment to fairness.
IT Association is happy to be associated with it.
The New Indian Express"
2017-07-31T17:22:27+0000,834100560293045_477545589281879,"Initiating Fusion is a non-profit social work initiative taken up by the students of the IT Department in collaboration with NSS. 
 We at Initiating Fusion believe in creating ripples of change .
If you want to join hands with us fill the form , and get a chance to be a part of Initiating Fusion.
All departments are welcomed.

https://goo.gl/forms/Zk0UWWiLaCrGAZ8P2"
2017-07-30T14:55:59+0000,834100560293045_477065385996566,"INITIATING FUSION
Initiating Fusion is a student initiated Group which aims at certain developments in the society and its welfare.  The main purpose of this initiative is to invoke a sense of social responsibility in the students.
Various events are conducted by Initiating Fusion like regular teaching classes, The Clean India Rally , food distribution. Blood donation camps and cloth donation drives are organized periodically to do our bit for the society.  Events like these promote empathy in students and give a way to them to live up to their social responsibility.
If you want to be the part of change , you  can connect with us and be a part of Initiating Fusion."
2017-07-30T11:08:16+0000,834100560293045_476986269337811,
2017-07-25T04:08:23+0000,834100560293045_474556159580822,"Plans of higher studies?  Do you dream to be in the best post graduation college? We are here to make your realise your dreams.
Assisting the students of  IT Association to sharpern their axe.
Join CRACKVERBAL to tread your path to success."
2017-07-19T08:04:27+0000,834100560293045_471739813195790,
2017-04-06T04:53:55+0000,834100560293045_420802251622880,Register ₹1 Flash Sale on mi.com and celebrate #MFF2017
2016-10-03T17:32:09+0000,834100560293045_329366054099834,
2016-08-21T14:58:24+0000,834100560293045_307564112946695,Durga Pujo kowdin baki?
2016-08-01T17:12:47+0000,834100560293045_296948590674914,
