Id,Probability
642,0.131
643,0.064
644,0.305
645,0.013
646,0.172
647,0.005
648,0.07
649,0.0
650,0.042
651,0.119
652,0.053
653,0.022
654,0.074
655,0.016
656,0.019933333333333334
657,0.003
658,0.0
659,0.23
660,0.09926666666666668
661,0.0
662,0.019
663,0.146
664,0.072
665,0.346
666,0.003
667,0.005
668,0.021
669,0.183
670,0.016
671,0.0
672,0.014
673,0.005
674,0.0
675,0.304
676,0.038
677,0.017
678,0.008
679,0.097
680,0.046
681,0.1325
682,0.0275
683,0.0555
684,0.018
685,0.186
686,0.0
687,0.013
688,0.002
689,0.039
690,0.124
691,0.028
692,0.141
693,0.171
694,0.019
695,0.017
696,0.062
697,0.0
698,0.005
699,0.281
700,0.001
701,0.002
702,0.082
703,0.096
704,0.406
705,0.027
706,0.001
707,0.05393333333333334
708,0.0
709,0.024
710,0.004
711,0.144
712,0.2375
713,0.048
714,0.018
715,0.0
716,0.252
717,0.005
718,0.019
719,0.001
720,0.0
721,0.0
722,0.003
723,0.049
724,0.003
725,0.014
726,0.005
727,0.009
728,0.08
729,0.006
730,0.199
731,0.0
732,0.013
733,0.003
734,0.063
735,0.149
736,0.021
737,0.03
738,0.09
739,0.071
740,0.002
741,0.001
742,0.009
743,0.022
744,0.014
745,0.024
746,0.042
747,0.0
748,0.0835
749,0.013
750,0.012
751,0.165
752,0.0
753,0.005
754,0.0
755,0.0725
756,0.035
757,0.021
758,0.002
759,0.0
760,0.004
761,0.002
762,0.005
763,0.11328571428571428
764,0.001
765,0.023
766,0.021
767,0.004
768,0.0033333333333333335
769,0.002
770,0.01
771,0.097
772,0.077
773,0.03
774,0.0
775,0.001
776,0.075
777,0.014
778,0.138
779,0.056
780,0.134
781,0.132
782,0.07
783,0.11
784,0.021
785,0.004
786,0.023
787,0.021
788,0.0
789,0.216
790,0.05
791,0.054
792,0.14933333333333332
793,0.001
794,0.063
795,0.322
796,0.0
797,0.0
798,0.013
799,0.173
800,0.011
801,0.108
802,0.012
803,0.0
804,0.012
805,0.152
806,0.005
807,0.002
808,0.002
809,0.013
810,0.144
811,0.02
812,0.004
813,0.041
814,0.008
815,0.003
816,0.043
817,0.0
818,0.007
819,0.0
820,0.006
821,0.0
822,0.162
823,0.003
824,0.003
825,0.004
826,0.014
827,0.032
828,0.003
829,0.0
830,0.045
831,0.045
832,0.202
833,0.015
834,0.003
835,0.034
836,0.0
837,0.21333333333333335
838,0.001
839,0.1095
840,0.496
841,0.239
842,0.127
843,0.013
844,0.013
845,0.15
846,0.441
847,0.017
848,0.0
849,0.15216666666666664
850,0.036
851,0.011
852,0.001
853,0.33704999999999996
854,0.0
855,0.0
856,0.021
857,0.001
858,0.075
859,0.0
860,0.065
861,0.415
862,0.0
863,0.003
864,0.002
865,0.0
866,0.006
867,0.004
868,0.001
869,0.042
870,0.0
871,0.005
872,0.012
873,0.008
874,0.0
875,0.0
876,0.341
877,0.016
878,0.053
879,0.0
880,0.049
881,0.005
882,0.0
883,0.057
884,0.07033333333333334
885,0.0
886,0.004
887,0.055
888,0.227
889,0.04
890,0.053
891,0.003
892,0.006
893,0.12833333333333335
894,0.5525
895,0.001
896,0.0
897,0.005
898,0.003
899,0.0
900,0.0
901,0.001
902,0.019
903,0.024
904,0.008
905,0.001
906,0.023
907,0.089
908,0.206
909,0.045
910,0.013
911,0.009
912,0.125
913,0.0
914,0.054
915,0.013
916,0.001
917,0.0
918,0.003
919,0.002
920,0.001
921,0.06283333333333334
922,0.2489
923,0.023
924,0.006
925,0.0
926,0.004
927,0.05
928,0.0225
929,0.194
930,0.092
931,0.1
932,0.05
933,0.0
934,0.018
935,0.0
936,0.0
937,0.001
938,0.031
939,0.266
940,0.0
941,0.002
942,0.0
943,0.017
944,0.043
945,0.016
946,0.079
947,0.051
948,0.047
949,0.085
950,0.025
951,0.0
952,0.003
953,0.005
954,0.006
955,0.06
956,0.062
957,0.0011666666666666665
958,0.011
959,0.008
960,0.02
961,0.0
962,0.025
963,0.004
964,0.03876666666666667
965,0.025
966,0.006
967,0.095
968,0.06916666666666665
969,0.005
970,0.076
971,0.001
972,0.0665
973,0.32
974,0.034
975,0.004
976,0.002
977,0.029166666666666664
978,0.0923
979,0.04
980,0.277
981,0.0
982,0.013
983,0.001
984,0.001
985,0.275
986,0.169
987,0.002
988,0.039
989,0.011
990,0.038
991,0.046
992,0.0
993,0.036
994,0.014
995,0.0
996,0.311
997,0.036
998,0.151
999,0.02
1000,0.0
